detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
FAST, FREAK, 0, 0.000799197, 1824, 149, 7, 0, 0.0209269, 0, 0.0217261
FAST, FREAK, 1, 0.000890602, 1832, 152, 7, 0, 0.0201036, 98, 0.0209942
FAST, FREAK, 2, 0.000882456, 1810, 150, 7, 0, 0.0208508, 99, 0.0217333
FAST, FREAK, 3, 0.000874772, 1817, 155, 7, 0, 0.0207551, 91, 0.0216299
FAST, FREAK, 4, 0.000877699, 1793, 149, 7, 0, 0.0203087, 98, 0.0211864
FAST, FREAK, 5, 0.000910317, 1796, 149, 7, 0, 0.0208563, 85, 0.0217666
FAST, FREAK, 6, 0.00087728, 1788, 156, 7, 0, 0.0204215, 99, 0.0212987
FAST, FREAK, 7, 0.000871121, 1695, 150, 7, 0, 0.0203345, 102, 0.0212056
FAST, FREAK, 8, 0.000887722, 1749, 138, 7, 0, 0.0202369, 101, 0.0211246
FAST, FREAK, 9, 0.000885843, 1770, 143, 7, 0, 0.0201972, 105, 0.0210831
FAST, SIFT, 0, 0.00089873, 1824, 149, 7, 0, 0.0100501, 0, 0.0109488
FAST, SIFT, 1, 0.000887758, 1832, 152, 7, 0, 0.0102261, 132, 0.0111138
FAST, SIFT, 2, 0.000883786, 1810, 150, 7, 0, 0.0103474, 131, 0.0112312
FAST, SIFT, 3, 0.000880483, 1817, 155, 7, 0, 0.0101967, 126, 0.0110772
FAST, SIFT, 4, 0.00087874, 1793, 149, 7, 0, 0.0101279, 138, 0.0110066
FAST, SIFT, 5, 0.000855549, 1796, 149, 7, 0, 0.0108555, 135, 0.0117111
FAST, SIFT, 6, 0.000911943, 1788, 156, 7, 0, 0.0110484, 136, 0.0119604
FAST, SIFT, 7, 0.000864179, 1695, 150, 7, 0, 0.010515, 135, 0.0113792
FAST, SIFT, 8, 0.000888909, 1749, 138, 7, 0, 0.0111322, 133, 0.0120211
FAST, SIFT, 9, 0.000892712, 1770, 143, 7, 0, 0.0104874, 120, 0.0113801
BRISK, BRISK, 0, 0.184442, 2757, 264, 21.5492, 212.496, 0.153863, 0, 0.338305
BRISK, BRISK, 1, 0.183495, 2777, 282, 21.7853, 212.129, 0.157751, 171, 0.341246
BRISK, BRISK, 2, 0.186629, 2741, 282, 21.6509, 191.029, 0.157265, 176, 0.343894
BRISK, BRISK, 3, 0.185456, 2735, 277, 20.3583, 159.23, 0.159655, 157, 0.345111
BRISK, BRISK, 4, 0.183194, 2757, 297, 22.5911, 220.702, 0.155203, 176, 0.338396
BRISK, BRISK, 5, 0.18824, 2695, 279, 22.9442, 249.964, 0.156655, 174, 0.344896
BRISK, BRISK, 6, 0.182985, 2715, 289, 21.8014, 215.379, 0.156383, 188, 0.339368
BRISK, BRISK, 7, 0.182221, 2628, 272, 22.1472, 226.018, 0.155587, 173, 0.337808
BRISK, BRISK, 8, 0.185552, 2639, 266, 22.5558, 230.701, 0.156457, 171, 0.342009
BRISK, BRISK, 9, 0.189378, 2672, 254, 22.0389, 215.124, 0.15777, 184, 0.347148
BRISK, BRIEF, 0, 0.187527, 2757, 264, 21.5492, 212.496, 0.000554967, 0, 0.188082
BRISK, BRIEF, 1, 0.185289, 2777, 282, 21.7853, 212.129, 0.000651441, 178, 0.18594
BRISK, BRIEF, 2, 0.186115, 2741, 282, 21.6509, 191.029, 0.000570614, 205, 0.186685
